turns,victory_status,winner,white_id,white_rating,black_id,black_rating,opening_eco,opening_name
40,mate,black,porquepepe,1618,oldpaths,1568,C00,French Defense #2
39,resign,white,gio1212,1755,oldpaths,1574,A04,Zukertort Opening: Kingside Fianchetto
57,resign,white,oldpaths,1561,rubberchicken04,1596,A45,Indian Game
78,resign,black,berejokserg,1500,oldpaths,1554,C00,French Defense: Queen's Knight
61,resign,white,oldpaths,1544,trump216bc,1461,D00,Queen's Pawn Game: Mason Attack
44,resign,black,oldpaths,1563,efer003,1335,D00,Queen's Pawn Game: Mason Attack
62,mate,black,oldpaths,1579,fcolpo,1470,A41,Queen's Pawn
87,mate,white,chesschumpchamp,1617,oldpaths,1590,A45,Indian Game
54,mate,black,aminox,1207,oldpaths,1588,C02,French Defense: Advance |  Steinitz Variation
54,resign,black,oldpaths,1595,sale0706,1547,D00,Queen's Pawn Game: Mason Attack
37,resign,white,redar1,1855,oldpaths,1599,C01,French Defense: Exchange Variation
50,resign,white,oldpaths,1589,insequitur,1547,A40,Horwitz Defense
131,resign,white,oldpaths,1571,tb-123,1728,D02,Queen's Pawn Game: London System
48,resign,white,tb-123,1720,oldpaths,1579,C00,French Defense: Chigorin Variation
47,resign,black,oldpaths,1579,iris_foxspring,2105,D02,Queen's Pawn Game: London System
64,mate,black,zoro55,1768,oldpaths,1560,C00,French Defense: La Bourdonnais Variation
61,resign,white,oldpaths,1552,geburah,1436,D00,Queen's Pawn Game: Mason Attack
57,mate,white,oldpaths,1536,urmil007,1667,D02,Queen's Pawn Game: London System
51,resign,white,serai,1521,oldpaths,1549,A10,English Opening: Anglo-Lithuanian Variation
58,mate,black,allahdeweswin,1251,oldpaths,1545,A00,Crab Opening
71,resign,white,oldpaths,1537,antoniogallero,1408,D00,Queen's Pawn Game: Mason Attack
114,resign,white,oldpaths,1522,matheuswillx,1512,A40,Queen's Pawn
39,resign,white,euler_jr,1602,oldpaths,1532,C18,French Defense: Winawer Variation |  Advance Variation #2
20,resign,black,oldpaths,1543,euler_jr,1593,D02,Queen's Pawn Game: London System
48,resign,black,oldpaths,1556,krillnor,1539,D00,Queen's Pawn Game: Mason Attack
34,mate,black,hoanghieudro2,1409,oldpaths,1548,C00,French Defense: Knight Variation
51,resign,white,oldpaths,1539,hoanghieudro2,1418,D02,Queen's Pawn Game: London System
69,resign,white,ehabhaddad,1603,oldpaths,1550,C00,French Defense: Queen's Knight
28,resign,white,oldpaths,1542,gabrielsol,1399,D00,Queen's Pawn Game: Steinitz Countergambit
62,resign,black,oldpaths,1546,crushmik,1877,D02,Queen's Pawn Game: London System
62,mate,black,amary33,1134,oldpaths,1535,A47,Queen's Indian Defense
85,mate,white,oldpaths,1513,remisero,1784,A40,Horwitz Defense
38,resign,white,oldpaths,1501,ryan94,1445,D02,Queen's Pawn Game: London System
14,resign,white,lotfibma,1500,hollyandclaws,1500,C50,Italian Game: Giuoco Pianissimo |  Normal
113,draw,draw,avelez8,1745,anonymous1705,1714,D06,Queen's Gambit Refused: Marshall Defense
62,resign,white,avelez8,1734,ars01,1748,D06,Queen's Gambit Refused: Marshall Defense
101,resign,white,salah04,1942,avelez8,1739,C10,French Defense: Marshall Variation
75,outoftime,white,avelez8,1724,vincenzo2000,1855,C45,Scotch Game
135,mate,white,majid_alsalhi,1951,avelez8,1729,C02,French Defense: Advance Variation |  Main Line
81,outoftime,white,avelez8,1726,pavankumarg,1388,C41,Philidor Defense
46,resign,black,avelez8,1735,mrmaccc,1806,D80,Gruenfeld Defense
70,mate,black,hopefullman15,1597,avelez8,1728,C00,French Defense: Knight Variation
39,resign,white,laeca53,1743,avelez8,1738,C10,French Defense: Rubinstein Variation |  Fort Knox Variation
91,resign,white,totoymate,1721,avelez8,1750,D30,Queen's Gambit Declined: Traditional Variation
137,outoftime,white,avelez8,1746,frynoodles,1487,D20,Queen's Gambit Accepted: Old Variation
46,resign,black,jdalcheco,1744,avelez8,1735,C02,French Defense: Advance Variation |  Paulsen Attack
18,resign,black,avelez8,1749,yolandoparada,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5
28,resign,black,avelez8,1769,murattibogurcu,1396,D20,Queen's Gambit Accepted: Old Variation
40,resign,black,cdvh,1795,hunecel,1760,A46,Yusupov-Rubinstein System
111,mate,white,hafedfree,1729,cdvh,1795,D31,Queen's Gambit Declined: Queen's Knight Variation
54,mate,black,decem,1795,cdvh,1784,C64,Ruy Lopez: Classical Variation
33,resign,white,cdvh,1770,japcan,1872,D02,Queen's Pawn Game: Zukertort Variation
90,resign,black,cdvh,1783,raubstein,1721,D02,Queen's Pawn Game: London System
90,resign,black,ashishbarda,1884,cdvh,1768,C64,Ruy Lopez: Classical Variation |  Central Variation
40,mate,black,omid163,1756,cdvh,1756,C24,Bishop's Opening: Ponziani Gambit
49,outoftime,white,cdvh,1724,capito2017,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order
50,resign,black,chess-brahs,2036,cdvh,1706,A08,King's Indian Attack: French Variation
59,mate,white,cdvh,1706,dashy1,925,D02,Queen's Pawn Game: London System
26,outoftime,black,mosheaugustyn,1244,sassou,1219,B00,Nimzowitsch Defense: Mikenas Variation
23,mate,white,sassou,1215,memoryberat,921,C50,Italian Game
118,mate,black,fatmat,1350,sassou,1201,B03,Alekhine Defense #2
66,mate,black,sassou,1210,alpheus23,1280,B29,Sicilian Defense: Nimzowitsch Variation
120,draw,draw,sureka_akshat,1139,sassou,1212,C50,Four Knights Game: Italian Variation
36,mate,black,sassou,1220,kapi77,1341,C57,Italian Game: Two Knights Defense |  Fried Liver Attack
26,mate,black,sassou,1234,cohiba_313,1359,C55,Italian Game: Anti-Fried Liver Defense
62,resign,black,sassou,1275,bagelsfu,1236,C57,Italian Game: Two Knights Defense |  Fried Liver Attack
37,resign,white,sabayossi,1433,sassou,1282,B02,Alekhine Defense: Maroczy Variation
24,resign,black,trelynn17,1132,sassou,1276,D06,Queen's Gambit Refused: Marshall Defense
47,resign,white,sassou,1276,maougnassou,1308,C55,Italian Game: Anti-Fried Liver Defense
37,resign,black,laeufer26,1228,sassou,1266,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation
24,resign,black,sassou,1273,popsun,1409,B13,Caro-Kann Defense: Exchange Variation
9,resign,white,mdaboczi,1338,sassou,1277,D00,Queen's Pawn Game #2
47,mate,white,sassou,1263,marktop1,1336,B57,Sicilian Defense: Modern Variations |  Main Line
85,mate,white,rougethunder,1316,sassou,1273,A20,English Opening: King's English Variation
39,mate,white,sassou,1248,shobik24,1253,B00,Goldsmith Defense
58,mate,black,maninayebi,1335,sassou,1233,E20,Nimzo-Indian Defense
95,mate,white,sassou,1223,agilm,1189,C57,Italian Game: Two Knights Defense |  Fried Liver Attack
2,resign,black,pune123,1443,sassou,1204,B02,Alekhine Defense
97,mate,white,failedocean,1227,sassou,1216,D06,Queen's Gambit Refused: Marshall Defense
12,draw,draw,sassou,1215,lumipa,1219,C50,Italian Game
30,resign,white,fastandbulbous420,1227,sassou,1227,C50,Four Knights Game: Italian Variation
43,mate,white,minimouf,1550,sassou,1225,E11,Bogo-Indian Defense: Exchange Variation
11,resign,white,goodolddaystr,1325,sassou,1234,B02,Alekhine Defense
72,mate,black,gonzalogp98,1212,sassou,1221,B02,Alekhine Defense: Saemisch Attack
156,mate,black,sassou,1226,vladimir_shindin,1478,C40,King's Knight Opening
18,resign,black,sassou,1228,martin74,1626,D30,Queen's Gambit Declined
77,mate,white,gotochess,1191,sassou,1228,C11,French Defense: Classical Variation |  Steinitz Variation
32,resign,black,quent0,1422,sassou,1210,B02,Alekhine Defense: Two Pawn Attack
35,resign,white,dangerflaps,1186,sassou,1223,C28,Vienna Game: Vienna Gambit
85,mate,white,sassou,1212,shazzam9999,1212,B06,Modern Defense
50,resign,black,sassou,1228,chessn00b47,1343,B01,Scandinavian Defense: Panov Transfer
111,resign,white,japonxino,1865,isachess,1862,A46,Yusupov-Rubinstein System
65,outoftime,white,isachess,1852,roshan_ie,1852,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
73,resign,white,cliff_walker,1833,isachess,1863,A56,Benoni Defense
125,resign,white,isachess,1851,sergej1956,1918,B27,Sicilian Defense: Hyperaccelerated Dragon
76,resign,black,isachess,1861,pogrib,1844,C55,Italian Game: Anti-Fried Liver Defense
65,outoftime,white,isachess,1853,tartetatin,1774,C65,Ruy Lopez: Berlin Defense #2
41,mate,white,juncinmestrella,1910,isachess,1862,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack
59,resign,white,isachess,1851,robinhood76,1890,C00,French Defense: Knight Variation
70,resign,black,tohaimr7,1860,isachess,1840,B50,Sicilian Defense: Delayed Alapin
34,resign,white,zpectral-chess,1828,isachess,1848,B51,Sicilian Defense: Canal-Sokolsky Attack
69,outoftime,white,javier_temperley,1855,isachess,1858,E00,Amar Opening
63,resign,white,isachess,1847,jadesummer,1895,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
107,resign,white,jadesummer,1885,isachess,1856,B50,Sicilian Defense
58,resign,white,isachess,1847,borvel,1802,A40,Queen's Pawn
34,resign,black,isachess,1847,homayoni,1856,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation
100,outoftime,black,demetrio50,1840,isachess,1837,B22,Sicilian Defense: Alapin Variation
80,resign,black,isachess,1848,maxpiz5,1806,B40,Sicilian Defense: French Variation
44,resign,black,isachess,1860,philiveykk,1820,C00,French Defense: Knight Variation
40,outoftime,black,azcatdave,1854,isachess,1849,A45,Paleface Attack
105,outoftime,white,fikr,1895,isachess,1859,B50,Sicilian Defense
50,resign,black,isachess,1866,samdooley,1965,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation
144,outoftime,draw,isachess,1866,teguhmaster,1843,B50,Sicilian Defense
81,resign,black,nf3isstrong,1835,isachess,1866,B18,Caro-Kann Defense: Classical Variation |  Flohr Variation
69,resign,black,isachess,1877,dzigibau,1860,C61,Ruy Lopez: Bird Variation
77,mate,white,edil1800,1849,isachess,1874,B90,Sicilian Defense: Najdorf Variation |  Adams Attack
158,mate,black,humb,1835,isachess,1865,E10,Blumenfeld Countergambit #2
107,draw,draw,isachess,1866,claudiucojo,1835,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening
117,mate,white,isachess,1856,abikhoshnavaz,1829,C78,Ruy Lopez: Morphy Defense #2
44,resign,white,isachess,1845,sakkkakas,1846,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
40,resign,black,seetripuu,1834,isachess,1835,B30,Sicilian Defense: Old Sicilian
59,resign,white,seif22,1846,isachess,1845,B10,Caro-Kann Defense
110,resign,black,isachess,1845,nicolo97,1917,D06,Queen's Gambit Refused: Marshall Defense
30,resign,black,isachess,1858,tajbo4,1790,B01,Scandinavian Defense: Mieses-Kotroc Variation
54,resign,black,nespil,1871,isachess,1847,B30,Sicilian Defense: Old Sicilian
69,resign,black,isachess,1846,turix,1869,C41,Philidor Defense
178,mate,black,sergeylobanov,1843,isachess,1836,B22,Sicilian Defense: Alapin Variation
136,resign,black,clown_with_a_knife,1800,isachess,1826,B20,Sicilian Defense
124,mate,black,taranga,1283,whfo,1267,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
96,resign,black,phileasfrog,1290,taranga,1270,A00,Hungarian Opening
53,outoftime,white,patrizio67,1331,taranga,1281,D00,Queen's Pawn Game #3
39,mate,white,piroz_xucestih,1304,taranga,1292,A00,Van't Kruijs Opening
10,mate,black,taranga,1305,piroz_xucestih,1293,C00,French Defense: Normal Variation
51,mate,white,lelik3310,1308,taranga,1317,C22,Center Game: Berger Variation
18,resign,black,cesar1945,1296,taranga,1305,C54,Italian Game: Giuoco Piano |  Greco's Attack
106,mate,black,marmoraka5,968,taranga,1305,C50,Four Knights Game: Italian Variation
38,mate,black,taranga,1293,vikrant_dalvi,1466,C41,Philidor Defense #3
59,mate,white,xapoh,1500,taranga,1299,C68,Ruy Lopez: Exchange Variation
111,mate,white,taranga,1288,jamila1234,1232,B12,Caro-Kann Defense
28,resign,black,taranga,1289,hknight_chess,2108,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation
101,outoftime,white,blassterkal,1431,taranga,1289,C22,Center Game: Normal Variation
15,mate,white,striker123,1806,taranga,1289,C45,Scotch Game
42,resign,white,taranga,1289,yugesh_naidu,1311,C41,Philidor Defense #3
118,resign,black,blassterkal,1431,taranga,1289,A40,Englund Gambit Declined |  Reversed French
34,resign,black,taranga,1289,andreas636,1484,C50,Giuoco Piano
60,resign,black,taranga,1289,armourbuddy,1810,A42,Sicilian Defense: Hyperaccelerated Fianchetto
66,resign,black,striker123,1806,taranga,1289,C44,Scotch Game
21,outoftime,white,taranga,1289,snapper,1500,C41,Philidor Defense #3
73,mate,white,moon50,1409,taranga,1297,C70,Ruy Lopez: Morphy Defense |  Caro Variation
159,mate,white,taranga,1280,moon50,1485,C55,Italian Game: Anti-Fried Liver Defense
74,resign,white,taranga,1280,italiantranslator,1211,B01,Scandinavian Defense: Mieses-Kotroc Variation
28,mate,black,italiantranslator,1211,taranga,1280,A00,Crab Opening
112,mate,black,taranga,1281,naoufel,1765,C41,Philidor Defense #4
104,resign,black,taranga,1288,moon50,1454,C42,Petrov's Defense
40,mate,black,moon50,1560,taranga,1270,D07,Queen's Gambit Refused: Chigorin Defense #2
44,mate,black,taranga,1274,moon50,1534,B27,Sicilian Defense: Jalalabad Variation
150,draw,draw,taranga,1259,moon50,1663,C55,Italian Game: Anti-Fried Liver Defense
60,mate,black,trotil45,1614,taranga,1238,D02,Queen's Pawn Game: London System
37,mate,white,taranga,1221,hsanderr,1417,C02,French Defense: Advance Variation |  Milner-Barry Gambit
88,outoftime,black,taranga,1222,madara21,1732,B32,Sicilian Defense: Open #3
113,mate,white,hallowdance,1232,taranga,1234,C68,Ruy Lopez: Exchange Variation
55,mate,white,taranga,1240,kingofchess2017,1219,C42,Russian Game: Damiano Variation |  Kholmov Gambit
135,mate,white,harrygz,1590,dbschultz,1600,A22,English Opening: Carls-Bremen System
137,draw,draw,rinoooo,1568,dbschultz,1617,C50,Italian Game
97,outoftime,white,dbschultz,1500,nienkotter,1358,C46,Four Knights Game
33,resign,black,thegrim123321,1384,robin512,1325,B07,Pirc Defense #4
29,resign,black,thegrim123321,1384,jdominguez,1265,A06,Zukertort Opening: Old Indian Attack
55,resign,black,thegrim123321,1384,sam7neeee,1950,A04,Zukertort Opening: Sicilian Invitation
91,resign,white,thegrim123321,1377,batatinhaazul,1249,B01,Scandinavian Defense: Mieses-Kotroc Variation
53,resign,white,kingestee33,1375,thegrim123321,1389,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit
49,mate,white,thegrim123321,1378,baconneggs,1361,C41,Philidor Defense
48,mate,black,deragon63,1261,thegrim123321,1371,B07,King's Pawn Game: Maroczy Defense
20,resign,black,thegrim123321,1380,brainiac007,1429,B30,Sicilian Defense: Old Sicilian
87,mate,white,thegrim123321,1369,danilo1961,1368,C42,Russian Game: Damiano Variation
11,resign,white,piechess97,1290,thegrim123321,1371,C77,Ruy Lopez: Morphy Defense |  Mackenzie Variation
110,draw,draw,thegrim123321,1372,merthy70,1326,B00,St. George Defense
24,resign,white,thekingdomcome,1361,thegrim123321,1383,A00,Van't Kruijs Opening
23,resign,white,rookreversal,1217,thegrim123321,1399,A22,English Opening: King's English Variation |  Two Knights Variation
81,mate,white,thegrim123321,1387,ranie123,1447,C60,Ruy Lopez
34,resign,black,arrigo,1474,thegrim123321,1387,B01,Scandinavian Defense
103,mate,white,thegrim123321,1377,tecnoch,1351,C41,Philidor Defense #2
29,resign,black,thegrim123321,1389,dantesmontecristo,1339,C40,King's Pawn Game: McConnell Defense
22,resign,black,thegrim123321,1389,gallosantoss,1400,C41,Philidor Defense #2
38,resign,white,morficle,1849,thegrim123321,1389,C44,Scotch Game
46,mate,black,annael88,1395,thegrim123321,1378,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
23,outoftime,white,thegrim123321,1370,ziogasparo14,1257,C61,Ruy Lopez: Bird Variation
31,resign,white,thegrim123321,1360,tcgil,1332,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
51,resign,white,andre94,1311,thegrim123321,1360,C21,King's Pawn Game: Beyer Gambit
87,mate,white,lanas2007,1714,thegrim123321,1360,C64,Ruy Lopez: Classical Variation
31,mate,white,thegrim123321,1354,onafets26,1217,C50,Italian Game
38,resign,black,shivcool,1245,thegrim123321,1346,D20,Queen's Gambit Accepted: Old Variation
43,resign,white,thegrim123321,1346,batuhh,1099,C55,Italian Game: Anti-Fried Liver Defense
105,resign,white,thegrim123321,1336,an73r05,1287,A07,King's Indian Attack: Keres Variation #2
87,outoftime,white,eideral,1580,krishubhi,1555,A10,English Opening: Anglo-Scandinavian Defense
36,mate,black,krishubhi,1555,eideral,1580,B40,Sicilian Defense: Marshall Counterattack
38,resign,black,myalcin64,1649,eideral,1547,C02,French Defense: Advance Variation #4
110,resign,black,tutubelezza,1426,eideral,1527,C00,French Defense: Knight Variation
48,resign,black,eideral,1557,fva,1547,C70,Ruy Lopez: Morphy Defense |  Caro Variation
95,mate,white,eideral,1557,maumau62,1607,E20,Nimzo-Indian Defense #2
70,mate,black,maumau62,1607,eideral,1557,A02,Bird Opening
42,resign,white,eideral,1557,arebest95,1632,B32,Sicilian Defense: Open #3
177,outoftime,white,au118,1535,eideral,1609,C58,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line
114,mate,black,abel4865,1713,eideral,1558,A00,Hungarian Opening: Indian Defense
57,resign,white,eideral,1497,abel4865,1730,B00,Owen Defense
57,resign,white,tca1004,1437,eideral,1552,C50,Italian Game
82,draw,draw,pkgirpade,1516,eideral,1552,A03,Bird Opening
29,mate,white,eideral,1513,atorius,1456,B54,Sicilian Defense
70,resign,black,pablocas,1355,eideral,1478,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening
97,mate,white,tabellaria,1638,grubear,1614,C55,Italian Game: Anti-Fried Liver Defense
99,resign,white,tabellaria,1613,rangelelbano,1934,B12,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit
74,resign,black,f2f,1865,tabellaria,1613,D03,Queen's Pawn Game: Torre Attack
48,mate,black,playforpleasure,1776,tabellaria,1587,D00,Queen's Pawn Game
77,mate,white,tabellaria,1568,mattieuw2,1593,C10,French Defense: Marshall Variation
80,resign,black,mattieuw2,1605,tabellaria,1546,B01,Scandinavian Defense: Icelandic-Palme Gambit
35,resign,white,tabellaria,1518,snowden,1709,B00,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
33,resign,white,sombragris,1728,tabellaria,1527,D31,Semi-Slav Defense: Noteboom Variation
87,mate,white,tabellaria,1515,blackphish,1379,B01,Scandinavian Defense: Mieses-Kotroc Variation
40,resign,black,tabellaria,1538,jabar72,1501,B06,Robatsch (Modern) Defense
54,resign,black,jabar72,1511,tabellaria,1516,D30,Queen's Gambit Declined
67,resign,black,little---a,1464,tabellaria,1495,C69,Ruy Lopez: Exchange Variation |  Normal Variation
21,mate,white,tabellaria,1470,little---a,1475,C40,King's Pawn Game: Damiano Defense
14,mate,black,pasch0s,1490,tabellaria,1440,C50,Italian Game: Schilling-Kostic Gambit
71,resign,white,nadanadora,1611,xad55toque,1974,D41,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation
72,outoftime,black,nadanadora,1611,xtreh,1945,E20,Nimzo-Indian Defense: Ragozin Variation
62,resign,black,vpull9,1584,nadanadora,1611,A31,English Opening: Symmetrical Variation |  Anti-Benoni Variation
48,resign,black,ramzaid,1942,nadanadora,1611,A00,Van't Kruijs Opening
6,outoftime,black,mejjes,1217,nadanadora,1611,C46,Four Knights Game
69,draw,draw,nadanadora,1611,qaisahleyorof,2059,D46,Semi-Slav Defense: Chigorin Defense
72,resign,white,nadanadora,1611,googol100,1478,B27,Sicilian Defense: Quinteros Variation
40,mate,black,googol100,1486,nadanadora,1552,C44,King's Pawn Game: Dresden Opening
29,mate,white,nadanadora,1453,googol100,1496,B06,Modern Defense
44,resign,white,nadanadora,1340,gatorman,1326,A40,English Defense #2
59,mate,white,corvusossifragus,1532,nadanadora,1500,C00,French Defense: Steinitz Attack
115,resign,white,doom12384,1560,ramirorldn,1557,C34,King's Gambit Accepted |  Fischer Defense
70,resign,black,doom12384,1571,vektor-mw,1577,A03,Bird Opening: Dutch Variation
36,resign,black,doom12384,1580,eze33,1617,A03,Bird Opening
83,resign,white,quarks_sparks,1531,doom12384,1593,C46,Four Knights Game: Gunsberg Variation
99,draw,draw,lagos16,1449,doom12384,1597,C48,Four Knights Game: Ranken Variation
43,resign,white,pepe100,1743,doom12384,1604,C34,King's Gambit Accepted |  Schallopp Defense
89,resign,white,runmael,1604,doom12384,1614,C48,Four Knights Game: Spanish Variation |  Classical Variation
96,resign,black,nitegazer,1550,doom12384,1605,D00,Queen's Pawn Game: Mason Attack
116,mate,black,pipppone,1630,doom12384,1605,C42,Petrov's Defense #5
78,mate,black,dimalesh,1475,doom12384,1605,A00,Hungarian Opening
77,mate,white,doom12384,1605,dimalesh,1475,A02,Bird Opening
70,mate,black,dimalesh,1475,doom12384,1605,C20,King's Pawn Opening: 2.b3
27,resign,white,augustbecarre,1570,doom12384,1605,C42,Russian Game: Cochrane Gambit
102,resign,black,doom12384,1605,jejeh,1500,A02,Bird Opening
21,resign,white,jejeh,1500,doom12384,1605,C47,Four Knights Game: Italian Variation |  Noa Gambit
33,resign,white,doom12384,1605,jejeh,1500,A02,Bird Opening
74,resign,black,raavi,1513,doom12384,1605,C42,Russian Game: Urusov Gambit
